question,answer,image_id
what are the objects on the bed,"pillow, blanket",image74
what is the object on the counter behind the bottles,knife_rack,image142
what is on the pillow,toy_doll,image997
what is on the left side of the plastic cover,remote_control,image792
what is the handle colour of the first mug,yellow,image745
what is in the vase,ornamental_plant,image799
what is behind the bed,window,image1050
what are the objects on the shelves,books,image106
how many beds are there,2,image1199
what is on the notice board,"papers, clock",image23
what is the object on the floor in front of the dustbin,toilet,image730
what is on the diagonally opposite to the blinds,toilet,image683
what is in front of the sofa,stool,image422
how many colors do the armchairs and their cushions have,2,image237
what is the object on the table,decoration_item,image1380
what is the object behind the bed,lamp,image1138
what is behind the television right corner,photo,image981
what is near the bag on the table,plastic_tray,image308
what is on the tv stand,dvds,image163
how many small drawers are there,11,image719
what is the green object behind the chair nest to the telephon and clock,curtain,image8
what is the largest object,table,image577
what is found in front of the table,chair,image1066
what is hanged on the wall,photo,image1363
what is in front of bookshelf,ladder,image108
how many curtains are there,2,image514
what is to the right of the wall decoration,toy_shelf,image1377
what is behind the chair,window,image589
what is the object on the shelves,cup,image102
what is the object found opposite to bed,television,image920
what is to the left of piano,guitar,image350
how many books are open above the monitor,1,image377
what is the colour of door,blue,image578
what is the object on the floor in the corner,stool,image1020
what objects are on the table,"glass, clock, incense_holder",image1273
what is the large white object on the table next to the book,laptop,image54
what is on the chair,clothes,image418
how many knobs are there,3,image1215
what is largest object,table,image1359
what is in between the chairs,television,image1232
what object is found on the right side of the sink,tissue_roll,image847
how many racks are visible,4,image105
what is the colour of the towel seen,white,image666
what are the colours visible,"white, brown",image65
what is at the centre of the room,game_table,image425
what is on the left side of the table,television,image1225
what is on the hanger,towel,image848
what is in the door,door_knob,image506
what is to the left of cot,table,image70
what is on the right side of the electrical mixer,salt_shaker,image855
what is on the right side of the chair,garbage_bin,image901
what is the colour of closed door,white,image790
what is in front of the window,clothing_hanger,image1087
how many beds are there,2,image1019
what is the object close to the wall,wall_decoration,image1159
how many racks are available for the book shelves,7,image106
what is the object that is on the counter below the shelve rack,fan,image13
what is on the left side of the lamp,"book, paper",image941
what is the object found right bottom of the refridgerator,stool,image875
what is on the table,"toy, lamp",image944
what is on the bigger table,"book, paper",image544
how many pillows are there,2,image1133
what objects are found on the bed,"doll, pillow",image997
what is on the left most side on the table,cordless_telephone,image600
how many beds are there,2,image1200
what is on the right side of the cooking pan,oven,image867
what is on the right side of the paper holder,briefcase,image610
what object is found on left side,curtain,image984
what is on the left side of the bed,night_stand,image1178
how many knobs are visible,7,image1351
what is to the left side of the cabinet,mirror,image1051
what is the object in front of the wall to the left side of the shelf frame,sofa,image51
what is on the table,"book, bag",image922
what is at the left corner of the room,shelves,image622
what is left of the wine rack,glass_box,image159
what are object on the top shelves of the shelf frame,books,image25
what is on the left side of the oven,microwave,image789
what is behind the chair,laptop,image393
what is on the door,decoration_item,image922
what is placed on the cabinet,lamp,image1133
what is beneath the candle holder,decorative_plate,image1438
what is the object on the sink,hand_sanitizer,image48
what is in front of the desk,sofa,image438
what is the colour of the bed,brown,image1009
what is on the right side of the tap,bottle_of_hand_wash_liquid,image695
what are the things on the right side cabinet,"alarm_clock, tissue_box",image1074
what is on the cabinet in front of the electrical kettle,vegetable_peeler,image140
what is the largest object on the table,ornamental_plant,image890
what is on the left side of the bed,night_stand,image963
what is present on the left side,door,image1037
what is in the third shelf of the rack,books,image80
what is the yellow cloth hung close to the refrigerator handle,tablecloth,image130
what is near the plant,lamp,image342
what is on the window,curtain,image939
what is on the stove,cooking_pan,image892
what is the colour of the garbage bin,brown,image827
what is the colour of walls,white,image243
how many machines are there,3,image109
what is found near the right side wall,table,image1177
what object if found on the right side,cabinet,image1143
what is in the front of the table,"file, folder",image93
how many pillows are there,4,image910
what is in front of table,chair,image265
what is the object in front of the window,curtain,image1113
what is on the right side,cabinet,image1319
what is the colour of the pillow,blue,image998
what is on the refrigerator,"paper, magnet",image797
what is right of table,garbage_bin,image294
what color is the toaster oven on the top of the cabinet,white,image139
how many blue objects are in this picture on the top of the white cabinet not on the floor,1,image10
what is on the left side of the bed,clothes,image1035
what is the colour of the vase in between the chair and sofa,red,image1246
what is in front of the chair,stool,image943
what is on the left side of the sink,tissue_roll,image790
how many lamps are on,1,image81
what is the object above the counter,mirror,image720
what is the object on the floor left of the bed,cabinet,image940
what is at the right corner of the image929,fan,image929
what is the color of the garbage bin,blue,image12
what is the purple object on the table,bottle_of_liquid,image864
what is to the right of the bed,cabinet,image1071
what is the object on the side table,telephone,image1068
how many drawer handles are there,11,image816
what is in the shelves beneath the table,doll,image114
what is stuck on the wall,photo,image1253
what is on the left side of the sink,bottle_of_hand_wash_liquid,image674
what are stuck on the wall,photo,image1366
what is stuck on the ceiling,lighting_track,image1415
what is the colour of the wall,purple,image1378
what is left of shelf,window,image530
what is found to the right side of the door,television,image912
what is in front of the doors,papers,image419
what is the object under the table,chair,image1134
what is the colour of towel,blue,image719
how many bananas are found,1,image793
what is found on the left side of sink,storage_rack,image700
what object is found on the right side,window,image1120
what is in front of the monitor,pencil,image552
what is the yellow object stuck on the refridgerator,envelope,image875
what is stuck above the cabinet,mirror,image1383
how many steps does the step stool have,3,image104
how many drawers are there on the left side shelf,3,image370
what is placed on the table,napkin,image230
what is on the window,blinds,image371
what is the colour of the table,"black, white",image449
how many drawers are there,4,image666
how many chairs are there,7,image6
how many bottles of water are on the night stand,1,image73
how many laptops are there,1,image146
what is on the left side of the drawers,bed,image1040
what is the cap colour of the water cup,pink,image753
what is in front of the wall with tree drawing,table,image305
what is on the shelf,decorative_item,image344
what is put on the windows,window_cover,image1036
what is on the left side of the curtains,lamp,image939
what is the object close to the wall left of the mirror,towel_rod,image503
what is the object on the floor close to the window wall,chair,image141
what is in front of the table,chair,image585
what is found at the left side,table,image1269
how many bathroom basins are in this picture,2,image661
what is on the either side of the bed,night_stand,image996
what is on the ceiling,pipe,image107
what is the object on the floor right of the table,trolley,image110
what is near the door frame,toys_shelf,image1326
how any chairs are there,3,image373
what is on the stand,"plate, paper",image616
how many chairs surround the table,6,image54
what are the objects found near the sink,"bottle_of_hand_wash_liquid, hand_sanitizer",image674
what is the colour of the table,brown,image375
what is the colour of the computer,black,image6
how many boxes are attached with bills,3,image106
what is behind the table,chair,image371
what is the object found in front of the door,floor_mat,image809
what object is present on top of the bed,pillow,image1009
what is the object in front of the white board,ladder,image7
what is the table made of,cane,image421
what is below the frames,sofa,image51
what is on the left side of the container,coffee_machine,image416
what is behind the ornamental plant,window,image883
what is on the wall,"picture, picture, picture",image1440
what is at the bottom left corner,sofa,image1225
how many drawers are there,1,image498
what is on the sofa,"carton, pillow",image1325
what is on the orange colour stool,toy_doll,image1008
what is on the table,"picture, lamp, vase",image1428
what is the object found on the floor,floor_mat,image807
what are the colours in the blanket,"pink, orange, blue, yellow",image1199
how many handles can you see in stove,4,image755
what is the object on the floor in front of the wall,television,image912
what is found in the inner room,sofa,image1428
where is the tv kept,tv_stand,image147
what is the colour of the picture on the wall,red,image809
what is the colour of the curtain,white,image652
what is found to the right side of the bed,cabinet,image1178
what is at the right side in the room,cabinet,image1378
what color is the dresser below the white lamp shade,white,image248
what are the white objects,"chair, lamp",image1426
what is the object right of the weighing machine,room_divider,image662
how many printers are there,1,image25
how many chairs are there,3,image467
what is the largest object,bed,image1063
how many chairs are visible,2,image490
what colour is the wall painted,white,image6
how many chairs are there,10,image1381
what is the object in the image912 close to the wall,television,image912
what is above the bed,picture,image915
what is right of television,fan,image595
what is behind the piano,bookshelf,image479
what is in front of the table,chair,image1140
what object is found behind the tissue roll,chair,image856
what is in the inner room,sofa,image1375
what is the object below the window close to the wall,heater,image80
what is on the left side night stand,lamp,image1071
what is on the chair,jacket,image453
what are the things behind the chairs,photo,image1371
what is the object close to the door knob,toy,image1065
how many books shelves are there,3,image52
what is on the table,mirror,image985
what is the object found on the left,bed,image987
what is behind the left of the sofa,game_table,image1239
what is on the bed,"pillow, toy",image937
what is on the drawer table,basket,image552
what is on the chair,bag,image1374
what is on the middle rack of the shape,"cup, decorative_item",image626
what is the colour of door,gray,image262
what are the objects on the bed,"blanket, pillow",image540
what is the chair type found,chair,image830
what is the colour of the chair,brown,image8
what is on the container,bag,image1069
what holds the globe,globe_stand,image323
what is the colour of the sofa,red,image1310
what is on the right side of the table,chair,image1312
what is the object on the floor close to the wall,lamp,image148
what is the object found behind the cabinet,window,image984
what is in front of the poster,machine,image450
what is in front of the glass door of the dresser,book,image1061
what is the object on the floor in front of the wall,cabinet,image923
what is in between the chairs,table,image1238
what is the colour of the mat,gray,image1334
what is the colour of the dress the teacher wearing,black,image304
what is on the night stand,lamp,image948
what is on the table,"telephone, paper, file, clothes",image1141
what is the object close to the counter,stove,image854
what is at the left bottom,cabinet,image1343
what is on table,"bag, vase",image270
how many framed pictures are there,2,image44
how many picture frames are there,2,image369
what are hanged above the laundry basket,clothes,image1051
how many frames are reflected in the mirror,2,image44
what is the object close to the wall,mirror,image1086
which objects are used in this room to show the world,"globe, map",image309
what is on the left side of the wall,door,image1436
what is beneath the cup,paper,image894
what are the things on the cabinet,"lamp, photo, decorative_item",image1427
by which the centre of the door is made,glass,image752
how many gray computer chairs are in front of blue chairs,1,image290
what is the object on the tissue handle,tissue,image874
what is behind the chair,ladder,image248
what is on the bed,clothes,image1007
what is below the television,table,image642
what is the object below the counter,cabinet,image896
what is the colour of the biggest chair,"white, black",image1343
how many doors of the cupboard are open,1,image108
what near the tap,bottle_of_listerine,image500
what is on the right side of the flower vase,picture,image1405
what is on the wall,picture,image627
what is the object close to the wall above the counter,mirror,image738
what is at the centre of the table,"vase, flower",image805
what all are placed on the wall,"clock, telephone, fire_extinguisher",image8
how many chairs are there,4,image900
what is in front of the table,chair,image610
what is in front of the stand,carton,image615
how many kids are sitting,3,image303
what is above the cupboards,television,image429
what is behind the column,chair,image1333
what is the colour of the lamp,white,image1133
what is on the left side of the monitor,cordless_phone,image895
what is at the left bottom,bed,image1177
what is on the right side of the window,television,image1138
what is on the television stand,dvd,image163
what is the object on the right of the table and in front of the door,chair,image3
what is in front of the table,chair,image1111
what is on the shelf,television,image437
what is behind the chair,game_table,image422
what is on the wall,picture,image1252
how many purple chairs are there,1,image1419
what is on the floor,clothing_drying_rack,image407
what is at the right side of the cabinet,"pillow, doll",image1177
what are the objects on the hangers,jacket,image116
what is the object on the counter below the cabinet,hot_water_heater,image140
what is on the wall above the sink,mirror,image499
what colors are the flower patterns on the pillows,"orange, pink",image1074
what is at the left side,cabinet,image1380
what is on the right side of the photo stand,"cup, stand",image100
what is behind the coffee grinder,chair,image886
white what is screen border colour,black,image7
what is beneath the curtain,blinds,image936
what is on the right side of the door,television,image1316
what is the colour of the chair,"blue, red",image986
what is in front of the remote control,paper,image598
what is the dish on the oven made of,aluminium_foil,image136
what is the object on the cabinet,photo,image1159
what is in front of the sofa,table,image1429
what is in front of the table,chair,image215
how many bottles on bathtub,3,image737
how many drawers are there,3,image405
what is on the table on the right side,file,image548
how many monitors are there in the table,2,image528
what is on the right side of the paper,cell_phone,image585
what is in front of the cup,soap,image665
what is on the right side of the laundry basket,stand,image407
what is the biggest object,bed,image914
what is behind the sofa,window,image237
what is the colour of the clothing detergent bottle,blue,image407
what is on the right side of the door,window,image1310
what is on the left side of the blue chair,fireplace,image1238
what are the objects on the table,papers,image1392
what is the chair made of,glass,image459
what is the object on the floor,toilet,image648
what is to the right of the fireplace,cabinet,image1239
what is the colour of the chairs,blue,image304
what is above the chair,light_bulb,image274
what is in front of the sofa,table,image1238
what is the object close to the wall,wall_decoration,image149
what are around the table,chair,image1381
what is stuck on the wall,photo,image1426
what is beneath the table on the left side of the cpu,cables,image554
what object is stuck below the storage rack,tissue_roll,image808
what is the object on the floor in front of the wall,bed,image1169
what is the object on the bed,pillow,image940
what is to the left of the clock,decorative_item,image319
what is the colour of the first book in the second rack of the shelf,red,image646
what is the object close to the wall,picture,image921
what is the largest object,bed,image953
how many lamps are above the cash desk,2,image234
what is to the right of the television,router,image164
what is the largest object,table,image1366
how many sections are available in the shelf,3,image102
what is the colour of the clothes on the chair,pink,image418
what is to the right side of the cabinet,bed,image1086
what is at the bottom right,vase,image1320
what is below the chair,bag,image393
what is the object hung close to the hangers,jacket,image99
what is the largest object,bed,image914
what is on the left of the toy house,shelves,image401
what is in front of the cabinet,table,image1372
what is found to the right side of the table,television,image879
how many pictures are visible,3,image1439
what is on the left most side of the whiteboard,plant,image120
what is the object close to the towel rod,towel,image659
how many knobs are visible,3,image406
what is in the hanger,towel,image497
what are around the dining table,chair,image1377
what is beneath the lamp,paper,image1111
what is the colour of the comforters,"white, pink, blue, green",image1020
how many containers are there,3,image872
what is the object behind the cot and the table,room_divider,image64
what is to the left of the table,sofa,image383
what is the object on the tissue holder,tissue,image648
what is at the corner of the shelf,books,image639
what is the object on the floor right of the cabinet,bed,image1043
what is the colour of the bed,gray,image1116
what is the object in the right side of the faucet and in front of the mirror,bottle_of_soap,image702
how many water sprinklers are,1,image12
how many black chairs are there in front of the white wall,2,image615
how many garbage bins are there,1,image742
what is colour of floor,brown,image270
what is beneath the cupboard,microwave,image872
what is on the right side of the hair dryer,lint_comb,image720
what is on the right side of the printer,tissue_box,image829
what is in front of the left side wall,table,image1434
what is the colour of the smallest chair,blue,image1345
what is the lying down on the floor mat,dog,image900
what is on the ping pong table,ping_pong_racket,image641
what is the object on the bed,pillow,image1055
what color is the salt shaker below the electrical outlet,red,image139
what is on the left side of the tap,"soap, soap_box",image808
how many pillows are there on the bed,2,image1168
what is found to the right side of the window,bookshelf,image1141
what is on the right side of the lamp on the right night stand,tissue_box,image924
what is on the bed,pillow,image1237
what is on the right side of the knife rack,tissue,image753
what are the objects on the floor,"basket, table, chair, machine",image492
what color is the table fan on the floor on the right side of the wall,black,image832
what is to the right of the bed,cabinet,image1071
what is found near the wall,lamp,image885
how many pictures are visible,4,image1437
what is placed behind the sofa,lamp,image244
what is the largest object on the floor,toilet,image497
what is hung on the wall near the bed,wall_decoration,image1045
what is on the brown table,printer,image24
what is at the right side of the bed,bookshelf,image1185
what is the object on the floor close to the room divider,floor_mat,image683
what object is near the sink,"kitchen_utensils, bottle_of_hand_wash_liquid",image899
what is the colour of the table and chairs,brown,image1404
what is on the bed,paper,image1168
what is above the flower,light,image824
what is beneath the television,dvd_player,image1213
what is the object behind the bed,wall,image65
what are the objects hung close on the hangers,clothes,image94
what color is the lamp shade close to the sofa in front of the curtain,white,image546
how many books are there on the table,4,image1283
what is on the table,pen_stand,image260
how many remote controls are on the tv stand,1,image259
what is near the window on the table,printer,image369
how many sections are in the steel rack,3,image101
what is on the right side of the drawer table,door,image911
what is in front of the towel,bottle,image865
what objects are found under the storage rack,"toaster, computer",image828
what are the things on the table,"toy, clothes, paper, basket",image1425
what is right of computer,shelves,image552
what is found at the bottom left corner,bed,image1189
what is on the right side of the cartons,bookshelf,image378
what is on the either side of the bed,light,image997
what is above the briefcase,framed_certificate,image610
what is at the right most edge of the table,lamp,image66
what is on the right side table,"television, dvd_player",image920
what is on shelf,toy,image530
what is present on the wall near the door,light_switch,image1018
what is the most frequent object in the room,book,image374
what is beneath the monitor table,"keyboard, mouse",image585
what is below the blanket and pillows on the left side of the night stand,mattress,image73
what is below the left bookshelf,ladder,image104
what are the objects on the table,"laptop, books, headphones, paper",image54
what is the object on the floor in front of the door,chair,image925
what is the object on the floor below the television,table,image643
what is the colour of the seat of the chair,white,image888
what is on the right side of the mirror,clothing_hanger,image499
what is the colour of the comforter,"yellow, red, green, blue",image983
what is the object close to the wall above the cot,window,image70
what is in between the chairs,stool,image632
what is the object on the floor in front of the cabinet,books,image998
how many drawer knobs are there,11,image75
what is to the left of the plastic tub on the wall,light_switch,image1311
what is on the left side of the bed,lamp,image540
what is beneath the pillows,comforter,image941
what is on the drawer table,hat,image1054
what is behind the chair,shelves,image224
what is found on the table which is in front of the sofa,"plate, toy, book",image1246
what are the things before the window,vase,image1322
what is behind the stove,container,image854
how many chairs are there,4,image452
how many doors are open,2,image925
what are the colours of the clothes seen,"white, blue, black, gray",image95
what is the colour of the sofa,brown,image424
what is in front of the piano,piano_bench,image1281
what is the object close to the wall above the toaster,microwave,image752
what is in front of the table,shelves,image342
what is found opposite to the door,bunk_bed,image1160
what is the colour of the lamp,brown,image1110
how many pillows are there on the bed,1,image64
what is at the centre of the chairs,table,image1379
what is on the left side of the microwave,tissue_roll,image410
what is on the left most table,television,image1072
what are the things on the left cabinet,"paper, box, photo",image1065
what is in between the candle sticks and lamp,banana,image52
what is the object in the knife rack,knife,image576
what is in front of the television,chair,image427
what colour is the wall,white,image553
what is on the night stand,lamp,image1029
what is present near the bed to its left,night_stand,image1027
what is the object close to the counter,sink,image576
what is placed on the shelves,pillow,image233
where the lamp is placed,cabinet,image1086
what is the object in the shelf,shoe,image72
what is to the right of television,window,image218
what is the biggest object,sofa,image1231
what is right of lamp,chair,image588
what is on the show piece shelf,mirror,image1326
what are the objects on the counter,"paper, pen, clock, box",image453
what is the object close to the counter,sink,image682
what color is the garbage bin on the floor on the left side of the desk,purple,image22
what is the colour of the box on the cupboard,yellow,image1016
what is at the left side of the door,table,image1061
what is the largest object,bed,image1168
what is the largest object,bed,image1029
what is on the left side of the lamp,monitor,image585
what is the object close to the shelves,towel,image715
how many brown round tables are there,2,image227
what is the colour of the clothes on the table,"green, blue, red",image406
what is the colour of the tv,black,image147
what is on the left side of the lamp,mirror,image1086
what is in front of the gray rack,garbage_bin,image112
what is the below the fire extinguisher,basket,image8
what object is found on the left side,electric_mixer,image855
what is behind the kitchen,garbage_bin,image53
what is in front of the wall,table,image116
what is above the bed,fan,image969
what is on the right side of the drawer table,bunk_bed,image1055
what is on the right side of the sofa,lamp,image1231
what is in front of the drawer,hat,image1065
what is the object close to the tissue rod,tissue,image703
what is the object above the shelves close to the wall,blackboard,image123
what is the object found near the table,garbage_bin,image876
what is on the right side of the sofa,laundry_basket,image1266
what is at the right bottom corner,table,image1283
what is placed on the sofa,pillow,image232
what is the object on the floor in front of the wall,cabinet,image1043
what is in the bottom right corner,sofa,image1309
what is stuck on the wall near the plant,photo,image1188
what is beneath the drawer,door,image1223
what is to the right of the photo,cabinet,image1426
what is found right of the table on the wall,window,image1269
what is right of sofa,lamp,image588
what is above the shelf,hanger,image586
what is on the table,laptop,image146
what is the object below the counter,cabinet,image819
what is beneath the microwave,bottle_of_liquid,image872
what are the things inside the display case,"certificate, trophy",image1371
what is the object on the shelf close to the wall,books,image98
what are the things on the cabinet,"plant, bottle, candlestick, wine_glass",image1435
what colors are the walls in this picture,"yellow, white",image339
what is on the right side wall,framed_certificate,image1373
what is near the door,printer,image449
what is to the left of the shelf,bed,image418
what is at the left corner of the table,books,image642
what color is the television,black,image402
what is kept near the wall and the bed in the corner of the room,lamp,image1006
what are the objects in the middle rack of the shelf,books,image69
how many pillows are there,4,image924
how many legs in the stool,4,image735
what is the object below the counter,cabinet,image892
what are the things found before the fireplace,books,image1323
what is on the right side of the shelf,blinds,image1059
what is on the right side of the kid sofa,toy_chair,image402
what is the colour of the table cloth,white,image166
what is beneath the machines,table,image449
what is on the table,"bottle, alarm",image1142
what colour is the bath tub,white,image714
how many towel rods are there,1,image696
what is the colour of the object found under the bed,red,image957
what is seen on the left bottom corner,knobs,image1050
how many drawers are there,4,image898
what is the object on the stool,printer,image24
what is to the left of the sofa,lamp,image50
what is the largest object,sofa,image1241
how many pictures are there,2,image1352
what is under the counter and behind the floor mat,radiator,image123
what is hanging from the television,wire,image643
how many drawers are there,2,image795
where is the lamp kept on,cabinet,image978
what is the largest white object on the left side of the picture,printer,image10
what is on the right side of the table,curtain,image75
what is the object on the side rack,photo_album,image102
what is found near the window,vase,image848
what is found to the right side of the bed,door,image1105
what is is front of the stool,container,image423
what is on the left side of the black equipment,bottle_of_liquid,image410
what is found on the sofa,lamp,image1246
what is on the round table,books,image1238
what is colour of the painting on wall,"green, blue, yellow, red",image50
what is on the right side of the sink,soap,image701
what is the colour of the refridgerator,white,image830
how many chairs are there,8,image6
what is the object close to the wall,picture,image815
what is on the left side of the door,toy_doll,image391
what color is the counter,"white, brown",image124
what is near the exercise machine,chair,image429
what is in front of the window,baby_gate,image398
what is on the chair,bag,image587
what is the object above the toilet and the sink,mirror,image738
what is on the left side of the speaker,book,image954
what is on the sofa,remote_control,image1311
what is at the left side,cabinet,image1062
what objects are on the television,"clock, toy",image1301
what is the object on the floor right of the bathtub,cabinet,image737
what is the colour of the garbage bin,white,image827
what are the objects close to the counter,"faucet, sink",image135
how many chairs can you see,1,image796
what is the framed object close to the wall,wall_decoration,image149
what is in front of the chair,stool,image404
how many electrical objects are on the cabinet,2,image139
what is on the table,machine,image109
what is on the right side of the picture,window,image1268
what is in front of the table,tissue,image640
what is present on the right side bottom corner,"suitcase, trolley",image1044
what is found to the left of the cabinet,garbage_bin,image997
what is the colour of the refridgerator,black,image799
what is in front of the door way,excercise_machine,image1213
how many switch boards are there,2,image394
what is on the left side of the sink,bottle_of_hand_wash_liquid,image847
what is the object on the table,candelabra,image1380
what is on the stool,"sock, sock",image424
what is on the left side of the wall decoration,door,image798
what is in front of the window,bottle_of_liquid,image714
what is the object on the shelves,cup,image100
what is to the left of the wall decoration,toys_shelf,image1376
what is the object on the floor right of the sofa,stool,image487
what is inside the frame,photo,image147
what is on the right side of the framed paper,decorative_item,image1393
what is in front of the bookshelf,excercise_ball,image1073
what is in front of the switch board,electric_mixer,image806
what is left of printer,mirror,image529
what is on the left side of the drawer table,curtain,image911
what is on the left side of the papers that is on the left side of the business card,tissue_box,image392
what is behind the sofa,banister,image1281
what is below the laptop table,garbage_bin,image376
what is the object close to the floor,floor_mat,image751
what is the colour of garbage bin,white,image507
what is the object below the table,chair,image829
what is placed on the shelf,box,image586
what is in front of the sofa,table,image1224
what is found in front of the window,faucet,image817
what is in front of the wall,machine,image662
what object is above the brown table and below the white ceiling,projector,image19
what is the object on the floor close to the pillar,trolley,image108
what is the object close to the towel rod,towel,image739
what is the colour of the door,white,image1026
what is in the container on the floor,stick,image496
what is at the right side,sofa,image1360
what is in the shelf beneath the shelf of slippers,gift_wrapping_roll,image72
what is on the window,window_cover,image940
how many photos are on the wall,3,image794
what is on the left side of the pillows,ornamental_plant,image1189
what is on the rack,decorative_plate,image1320
where are the students sitting,floor,image314
what is right to the chair,lamp,image1296
what is in front of the shelf,sofa,image241
what is the colour of the wall,purple,image1378
what is left of sink,refridgerator,image573
what is in the right of the table,board,image339
what is the object close to the door,door_knob,image922
what is present in between both the beds,storage_rack,image1042
what is to the right of the photo,cabinet,image1253
what is found behind the ironing board,window,image968
what is on the left side of the sofa,dog,image1241
what is on the floor,rug,image1428
what is on the left side of the sofa,table,image372
what is the object on the monitor,toy,image114
what is found on the right side,refridgerator,image824
what is on the table,bench,image1345
what are the two long objects that are rested close to the table on the right side of the chair,wooden_planks,image6
what is the colour of chair cushions,white,image746
what is the object on the floor right of the sofa,box,image486
what color is the chair base in front of the desk,red,image986
what is the object on the floor behind the toilet,bathtub,image696
what is on the right side of the lamp,door,image625
what is on the right side of the blinds,bookshelf,image1141
how many chairs are there,10,image1379
what is the object right of the screen,bathtub,image501
what is kept on top of the table,picture,image1028
what objects are found on the ironing board,"iron_box, clothes",image969
how many chairs are on the right side of the table,3,image5
what is the largest object,table,image828
what is found on the both sides of the bed,cabinet,image1187
what is around the table,2,image596
what is in front of the window in the table,table,image1352
how many chairs are there,1,image1068
what is to the left of spoon stand,coffee_machine,image139
what is in front of the wall decoration,table,image1377
what is found behind the sofa,window,image1222
what is the colour of the glass on the table,"blue, white",image815
what is the colour of the cloth on the sofa,"yellow, red",image1318
what is the object found next to the coffee machine,refridgerator,image896
what are the objects that are stacked on the counter,"file_container, file_stand, file_holder",image13
what is on the left side of the carton,stand,image622
what is on the left side of the bed,"blinds, curtain",image1114
what is on the left side of the table,fireplace,image1379
what is on the left side of the sink,kitchen_utensils,image575
what is near the wall,shelves,image152
what is the colour of the cloth in front of the table,"red, yellow",image1242
what is on the chair,pillow,image590
what is at the centre of the wall,television,image642
what is in front of the ornamental plant,dog,image900
what is to the right,bottle_of_liquid,image490
what is on the door,door_knob,image159
how many sinks are there,2,image735
what is near the computer,mouse,image112
what are on the both sides of the window,glass_rack,image1437
what is the colour of the paper that is stuck on the left most side of the wall,black,image113
what is placed on the table,plate,image239
what are the silver objects on the left side of the wine bottles on the kitchen counter,candlestick,image1435
how many monitors are there,3,image111
what is the object below the heat exhauster,stove,image895
how many cupboards are there,2,image792
what is on the left most side on the table,fan,image1319
what is found behind the floor mat,bathtub,image683
what object is in front of the window,sofa,image981
what is behind the table,plastic_tray,image342
what is hung from the ceiling on the right side of the pillar,light,image92
what is behind the girls,bookshelf,image318
what is the object on the stool,television,image1138
how many computer,2,image528
what are around the table,chair,image1366
what is found on the left side,oven,image876
what is placed on the chair,bag,image213
